m,unknowns,carry_bits
19897,104,91
20291,104,91
21079,104,91
21473,104,91
22261,104,91
25019,104,91
25807,105,91
26989,105,91
27383,105,91
29353,105,91
29747,105,91
30929,105,91
32111,105,91
32899,119,105
34081,119,105
35263,119,105
35657,119,105
37627,119,105
38021,119,105
38809,119,105
597,44,36
995,45,36
1393,54,45
2189,65,55
2587,65,55
3383,66,55
3781,66,55
4577,77,66
5771,77,66
6169,77,66
7363,78,66
8159,78,66
8557,90,78
9353,90,78
10547,90,78
11741,90,78
12139,90,78
13333,91,78
14129,91,78
14527,91,78
15721,91,78
16517,104,91
17711,104,91
19303,104,91
20099,104,91
20497,104,91
21293,104,91
21691,104,91
22487,104,91
25273,104,91
26069,105,91
27263,105,91
27661,105,91
29651,105,91
30049,105,91
31243,105,91
32437,105,91
33233,119,105
34427,119,105
35621,119,105
36019,119,105
38009,119,105
38407,119,105
39203,119,105
39601,119,105
633,44,36
1055,54,45
1477,54,45
2321,65,55
2743,65,55
3587,66,55
4009,66,55
4853,77,66
6119,77,66
6541,77,66
7807,78,66
8651,90,78
9073,90,78
9917,90,78
11183,90,78
12449,90,78
12871,90,78
14137,91,78
14981,91,78
15403,91,78
16669,104,91
17513,104,91
18779,104,91
20467,104,91
21311,104,91
21733,104,91
22577,104,91
22999,104,91
23843,104,91
26797,104,91
27641,105,91
28907,105,91
29329,105,91
31439,105,91
31861,105,91
33127,119,105
34393,119,105
35237,119,105
36503,119,105
37769,119,105
38191,119,105
40301,119,105
40723,119,105
41567,119,105
41989,119,105
44521,119,105
669,44,36
1115,54,45
1561,54,45
2453,65,55
2899,65,55
3791,66,55
4237,77,66
5129,77,66
6467,77,66
6913,77,66
8251,90,78
9143,90,78
9589,90,78
10481,90,78
11819,90,78
13157,90,78
13603,90,78
14941,91,78
15833,91,78
16279,91,78
17617,104,91
18509,104,91
19847,104,91
21631,104,91
22523,104,91
22969,104,91
23861,104,91
24307,104,91
25199,104,91
28321,104,91
29213,105,91
30551,105,91
30997,105,91
33227,119,105
33673,119,105
35011,119,105
36349,119,105
37241,119,105
38579,119,105
39917,119,105
40363,119,105
42593,119,105
43039,119,105
43931,119,105
44377,119,105
47053,119,105
49729,119,105
681,44,36
1135,54,45
1589,54,45
2497,65,55
2951,65,55
3859,66,55
4313,77,66
5221,77,66
6583,77,66
7037,77,66
8399,90,78
9307,90,78
9761,90,78
10669,90,78
12031,90,78
13393,90,78
13847,90,78
15209,91,78
16117,91,78
16571,104,91
17933,104,91
18841,104,91
20203,104,91
22019,104,91
22927,104,91
23381,104,91
24289,104,91
24743,104,91
25651,104,91
28829,104,91
29737,105,91
31099,105,91
31553,105,91
33823,119,105
34277,119,105
35639,119,105
37001,119,105
37909,119,105
39271,119,105
40633,119,105
41087,119,105
43357,119,105
43811,119,105
44719,119,105
45173,119,105
47897,119,105
50621,119,105
51529,119,105
687,44,36
1145,54,45
1603,54,45
2519,65,55
2977,65,55
3893,66,55
4351,77,66
5267,77,66
6641,77,66
7099,77,66
8473,90,78
9389,90,78
9847,90,78
10763,90,78
12137,90,78
13511,90,78
13969,90,78
15343,91,78
16259,91,78
16717,104,91
18091,104,91
19007,104,91
20381,104,91
22213,104,91
23129,104,91
23587,104,91
24503,104,91
24961,104,91
25877,104,91
29083,104,91
29999,105,91
31373,105,91
31831,105,91
34121,119,105
34579,119,105
35953,119,105
37327,119,105
38243,119,105
39617,119,105
40991,119,105
41449,119,105
43739,119,105
44197,119,105
45113,119,105
45571,119,105
48319,119,105
51067,119,105
51983,119,105
52441,119,105
699,44,36
1165,54,45
1631,54,45
2563,65,55
3029,65,55
3961,66,55
4427,77,66
5359,77,66
6757,77,66
7223,77,66
8621,90,78
9553,90,78
10019,90,78
10951,90,78
12349,90,78
13747,90,78
14213,90,78
15611,91,78
16543,104,91
17009,104,91
18407,104,91
19339,104,91
20737,104,91
22601,104,91
23533,104,91
23999,104,91
24931,104,91
25397,104,91
26329,104,91
29591,104,91
30523,105,91
31921,105,91
32387,105,91
34717,119,105
35183,119,105
36581,119,105
37979,119,105
38911,119,105
40309,119,105
41707,119,105
42173,119,105
44503,119,105
44969,119,105
45901,119,105
46367,119,105
49163,119,105
51959,119,105
52891,119,105
53357,119,105
54289,119,105
717,44,36
1195,54,45
1673,54,45
2629,65,55
3107,65,55
4063,66,55
4541,77,66
5497,77,66
6931,77,66
7409,77,66
8843,90,78
9799,90,78
10277,90,78
11233,90,78
12667,90,78
14101,90,78
14579,90,78
16013,91,78
16969,104,91
17447,104,91
18881,104,91
19837,104,91
21271,104,91
23183,104,91
24139,104,91
24617,104,91
25573,104,91
26051,104,91
27007,104,91
30353,104,91
31309,105,91
32743,105,91
33221,119,105
35611,119,105
36089,119,105
37523,119,105
38957,119,105
39913,119,105
41347,119,105
42781,119,105
43259,119,105
45649,119,105
46127,119,105
47083,119,105
47561,119,105
50429,119,105
53297,119,105
54253,119,105
54731,119,105
55687,119,105
57121,119,105
723,44,36
1205,54,45
1687,54,45
2651,65,55
3133,65,55
4097,77,66
4579,77,66
5543,77,66
6989,77,66
7471,77,66
8917,90,78
9881,90,78
10363,90,78
11327,90,78
12773,90,78
14219,90,78
14701,90,78
16147,91,78
17111,104,91
17593,104,91
19039,104,91
20003,104,91
21449,104,91
